"miRNA","TCGA_log2FC","log2FoldChange","pvalue","padj","Same_direction"
"hsa-mir-1304",1.54223427055764,2.8774903280094,1.10302750113364e-07,4.1624774648043e-06,TRUE
"hsa-mir-19b-2",1.20621019902443,1.59277998974054,0.000699835962506122,0.00473379608600839,TRUE
"hsa-mir-18a",2.80127145015092,1.34988192718597,0.00627670562163592,0.0269484906030716,TRUE
"hsa-mir-934",3.56297865198274,1.78579770383523,0.00838444994112931,0.0337733180212905,TRUE
